Class,Description,Menu,arduino,esp32_freertos,esp32s3_freertos,linux_amd64,linux_android_arm64,linux_android_arm,linux_arm64,linux_arm,linux_armv7l,linux_x86,linux_x86_64,nxp_arm,win_x86,xcore_freertos,zephyr_arm
DtvDiagnostic,,System / Host OS,—,—,—,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,—,—
DtvPvrPlay,,AV / Players,—,—,—,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,—,—
Array,,Data Utilities / Buffers,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
AvailableLanguages,,User Interface / National Language Support,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventCounterVersatile,,Event / Counters/Iterators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SelectLang,,User Interface / National Language Support,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
AppGet,,System / Remote,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
AppInfo,,System / Local,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FIFO,,Data Utilities / Buffers,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
LIFO,,Data Utilities / Buffers,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ICalc,,Math / Calculation,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
cgi2json,CGI to JSON,Data Utilities / JSON,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Constant,,Data Utilities / Constant,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Convertor,,Data Utilities / Conversion,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Demultiplex,,Data Utilities / Switcher,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
IndexedDemultiplexer,,Data Utilities / Switcher,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
elapsed_timer,Get elapsed time (in microseconds) between two event triggers.,Event / Elapsed Timer,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
