,temperature,resistance
0,-2012,18
1,-1943,21
2,-1873,24
3,-1802,27
4,-1732,30
5,-1661,33
6,-1589,36
7,-1517,39
8,-1445,42
9,-1373,45
10,-1300,48
11,-1227,51
12,-1154,54
13,-1080,57
14,-1006,60
15,-932,63
16,-858,66
17,-783,69
18,-708,72
19,-633,75
20,-558,78
21,-483,81
22,-407,84
23,-331,87
24,-255,90
25,-179,93
26,-102,96
27,-26,99
28,51,102
29,128,105
30,205,108
31,283,111
32,360,114
33,438,117
34,516,120
35,594,123
36,672,126
37,750,129
38,829,132
39,908,135
40,987,138
41,1066,141
42,1145,144
43,1225,147
44,1304,150
45,1384,153
46,1465,156
47,1545,159
48,1625,162
49,1706,165
50,1787,168
51,1868,171
52,1950,174
53,2031,177
54,2113,180
55,2195,183
56,2277,186
57,2359,189
58,2442,192
59,2525,195
60,2608,198
61,2691,201
62,2775,204
63,2859,207
64,2942,210
65,3027,213
66,3111,216
67,3196,219
68,3281,222
69,3366,225
70,3451,228
71,3537,231
72,3623,234
73,3709,237
74,3795,240
75,3881,243
76,3968,246
77,4055,249
78,4143,252
79,4230,255
80,4318,258
81,4406,261
82,4495,264
83,4583,267
84,4672,270
85,4761,273
86,4851,276
87,4941,279
88,5031,282
89,5121,285
90,5212,288
91,5302,291
92,5394,294
93,5485,297
94,5577,300
95,5669,303
96,5761,306
97,5854,309
98,5947,312
99,6040,315
100,6134,318
101,6228,321
102,6322,324
103,6417,327
104,6511,330
105,6607,333
106,6702,336
107,6798,339
108,6894,342
109,6991,345
110,7088,348
111,7185,351
112,7283,354
113,7381,357
114,7479,360
115,7578,363
116,7677,366
117,7776,369
118,7876,372
119,7976,375
120,8077,378
121,8178,381
122,8279,384
123,8381,387
124,8484,390
125,8586,393
126,8689,396
127,8793,399
128,8897,402
