,temperature,mV
0,-2052.0,-8
1,-1355.0,-6
2,-850.0,-4
3,-408.0,-2
4,0.0,0
5,389.0,2
6,765.0,4
7,1134.0,6
8,1498.0,8
9,1860.0,10
10,2220.0,12
11,2580.0,14
12,2941.0,16
13,3303.0,18
14,3665.0,20
15,4028.0,22
16,4390.0,24
17,4750.0,26
18,5108.0,28
19,5462.0,30
20,5811.0,32
21,6153.0,34
22,6488.0,36
23,6817.0,38
24,7139.0,40
25,7456.0,42
26,7768.0,44
27,8078.0,46
28,8388.0,48
29,8702.0,50
30,9020.0,52
31,9343.0,54
32,9673.0,56
33,10008.0,58
34,10348.0,60
35,10691.0,62
36,11036.0,64
37,11382.0,66
38,11729.0,68
39,12078.0,70
