,temperature,mV
0,-2010,-4
1,-1303,-3
2,-812,-2
3,-391,-1
4,0,0
5,376,1
6,734,2
7,1076,3
8,1403,4
9,1720,5
10,2026,6
11,2325,7
12,2617,8
13,2903,9
14,3185,10
15,3463,11
16,3736,12
17,4007,13
18,4275,14
19,4541,15
20,4804,16
21,5066,17
22,5326,18
23,5585,19
24,5842,20
25,6099,21
26,6355,22
27,6611,23
28,6866,24
29,7121,25
30,7394,26
31,7630,27
32,7884,28
33,8139,29
34,8394,30
35,8649,31
36,8905,32
37,9256,33
38,9418,34
39,9676,35
40,9934,36
41,10193,37
42,10453,38
43,10715,39
44,10977,40
45,11241,41
46,11506,42
47,11773,43
48,12041,44
49,12311,45
50,12584,46
